"w1","w0"
"of","the"
"in","the"
"to","the"
"for","the"
"on","the"
"c","e"
"to","be"
"at","the"
"and","the"
"in","a"
"with","the"
"is","a"
"for","a"
"it","was"
"i","have"
"from","the"
"i","was"
"and","i"
"it","is"
"with","a"
"going","to"
"of","a"
"is","the"
"have","a"
"i","am"
"one","of"
"if","you"
"to","get"
"to","a"
"as","a"
"the","of"
"have","to"
"that","the"
"want","to"
"by","the"
"and","a"
"this","is"
"was","a"
"i","think"
"to","do"
"the","first"
"out","of"
"that","i"
"on","a"
"but","i"
"i","dont"
"i","love"
"the","same"
"itc","s"
"be","a"
"you","can"
"to","make"
"a","lot"
"he","was"
"more","than"
"of","my"
"would","be"
"thanks","for"
"you","are"
"about","the"
"you","have"
"in","my"
"as","the"
"a","few"
"to","go"
"when","i"
"i","had"
"a","great"
"i","can"
"to","have"
"the","best"
"into","the"
"he","said"
"thank","you"
"i","know"
"we","are"
"had","a"
"they","are"
"i","just"
"that","is"
"we","have"
"so","i"
"is","not"
"there","is"
"the","and"
"the","new"
"was","the"
"a","new"
"there","are"
"over","the"
"like","a"
"donc","t"
"the","most"
"part","of"
"the","world"
"ic","m"
"but","the"
"do","you"
"to","me"
"so","much"
"to","you"
"trying","to"
"at","least"
"lot","of"
"said","the"
"and","it"
"on","my"
"i","would"
"to","my"
"for","me"
"at","a"
"and","then"
"back","to"
"i","want"
"some","of"
"is","to"
"if","i"
"is","that"
"are","you"
"the","way"
"can","be"
"you","know"
"the","last"
"has","a"
"able","to"
"of","his"
"its","a"
"it","to"
"up","to"
"a","bit"
"the","next"
"go","to"
"in","this"
"when","you"
"the","other"
"time","to"
"to","take"
"had","to"
"the","time"
"that","he"
"and","that"
"that","was"
"i","like"
"kind","of"
"you","to"
"way","to"
"of","this"
"be","the"
"he","is"
"i","cant"
"have","the"
"right","now"
"should","be"
"and","to"
"i","could"
"the","day"
"they","were"
"what","i"
"when","the"
"me","to"
"the","end"
"this","year"
"are","the"
"as","i"
"the","only"
"as","as"
"from","a"
"but","it"
"i","do"
"in","his"
"after","the"
"of","course"
"that","it"
"not","a"
"i","got"
"that","you"
"in","and"
"through","the"
"would","have"
"to","say"
"with","my"
"get","a"
"of","our"
"not","to"
"like","the"
"that","we"
"out","the"
"the","state"
"which","is"
"and","we"
"and","in"
"how","to"
"for","you"
"the","to"
"like","to"
"is","in"
"up","the"
"to","work"
"she","was"
"wanted","to"
"it","would"
"said","he"
"of","them"
"for","my"
"i","hope"
"a","of"
"of","their"
"im","not"
"the","city"
"by","a"
"i","get"
"last","year"
"new","york"
"and","you"
"you","want"
"into","a"
"i","thought"
"there","was"
"and","his"
"end","of"
"they","have"
"to","help"
