"w4","w3","w2","w1","w0"
"at","the","end","of","the"
"for","the","first","time","in"
"the","end","of","the","day"
"for","the","rest","of","the"
"by","the","end","of","the"
"thank","you","so","much","for"
"there","are","a","lot","of"
"its","going","to","be","a"
"let","me","know","if","you"
"is","going","to","be","a"
"for","the","first","time","since"
"i","donc","t","want","to"
"the","other","side","of","the"
"is","one","of","the","most"
"c","e","i","donc","t"
"c","c","c","c","c"
"this","is","going","to","be"
"to","be","a","part","of"
"thanks","for","the","shout","out"
"the","end","of","the","year"
"at","the","top","of","the"
"thanks","so","much","for","the"
"for","those","of","you","who"
"i","thought","it","would","be"
"on","the","other","side","of"
"but","at","the","same","time"
"i","love","you","so","much"
"is","one","of","the","best"
"the","rest","of","the","day"
"and","the","rest","of","the"
"c","e","itc","s","a"
"hope","you","have","a","great"
"is","it","just","me","or"
"the","rest","of","the","world"
"has","nothing","to","do","with"
"i","donc","t","know","what"
"thank","you","for","the","rt"
"the","end","of","the","month"
"when","i","was","a","kid"
"for","a","chance","to","win"
"this","is","one","of","the"
"on","the","side","of","the"
"i","have","a","lot","of"
"i","want","to","go","to"
"i","didnc","t","want","to"
"if","you","would","like","to"
"it","was","going","to","be"
"when","it","comes","to","the"
"am","i","the","only","one"
"i","have","no","idea","what"
"to","figure","out","how","to"
"i","donc","t","know","how"
"i","hope","you","have","a"
"in","the","back","of","the"
"me","me","me","me","me"
"on","both","sides","of","the"
"to","be","one","of","the"
"to","get","out","of","the"
"as","a","result","of","the"
"at","the","end","of","this"
"at","the","time","of","the"
"is","one","of","my","favorite"
"i","dont","know","how","to"
"i","think","im","going","to"
"said","c","e","itc","s"
"to","find","a","way","to"
"at","the","same","time","i"
"cake","cake","cake","cake","cake"
"going","to","be","able","to"
"let","us","know","if","you"
"there","is","a","lot","of"
"to","be","part","of","the"
"to","the","rest","of","the"
"you","donc","t","have","to"
"you","have","to","do","is"
"over","the","course","of","the"
"turned","out","to","be","a"
"what","do","you","think","of"
"an","hour","and","a","half"
"itc","s","going","to","be"
"was","going","to","be","a"
"and","at","the","same","time"
"i","am","not","going","to"
"i","dont","want","to","be"
"in","the","s","and","s"
"it","is","what","it","is"
"thank","you","to","everyone","who"
"this","is","the","first","time"
"at","the","start","of","the"
"had","nothing","to","do","with"
"i","dont","know","what","to"
"ic","m","not","going","to"
"in","the","of","the","night"
"is","going","to","be","the"
"the","end","of","the","season"
"the","end","of","the","world"
"to","the","top","of","the"
"that","awkward","moment","when","you"
"we","have","a","lot","of"
"at","the","same","time","the"
"could","not","be","reached","for"
"every","once","in","a","while"
"going","to","be","a","great"
"i","donc","t","know","if"
"i","just","finished","a","mi"
"i","want","to","do","is"
"just","finished","a","mi","run"
"nothing","to","do","with","the"
"there","was","a","lot","of"
"what","are","you","going","to"
"dont","know","what","to","do"
"finished","a","mi","run","with"
"i","cant","wait","for","the"
"i","want","to","be","a"
"i","wish","i","had","a"
"im","going","to","have","to"
"in","the","center","of","the"
"thanks","for","the","heads","up"
"it","was","one","of","the"
"let","me","know","what","you"
"the","dow","jones","industrial","average"
"as","a","member","of","the"
"be","sure","to","check","out"
"g","protein","g","carbohydrate","g"
"hope","you","had","a","great"
"i","dont","know","if","i"
"i","dont","know","why","i"
"i","have","to","go","to"
"i","thought","it","was","a"
